,household_id,id,name,sex,age,occupation,father,mother,paternal_grandfather,maternal_grandfather,spouse,siblings,children,relation_to_declarant,role,owner
476,145-He 2,145-He 2-FM6,Patermouthis,male,26,,145-He 2-d1,Thennoupis,,,,['145-He 2-FM5'],[],son,family member,
477,145-He 2,145-He 2-FM7,Pnephoros,male,26,,Pnephoros,145-He 2-FM1,,,145-He 2-FM8,[],[],,family member,
478,145-He 2,145-He 2-FM8,Tamounis,female,18,,Ameneus,,,,145-He 2-FM7,"['145-He 2-FM9', '145-He 2-FM10']",[],,family member,
479,145-He 2,145-He 2-FM9,Taphorsois,female,age not given,,Ameneus,,,,,['145-He 2-FM8'],[],,family member,
480,145-He 2,145-He 2-FM10,Taas,female,age not given,,Ameneus,,,,,['145-He 2-FM8'],[],,family member,
481,145-Hm-l,145-Hm-l-d1,Name lost,,,,,,,,,[],[],self,family member,
482,145-Ly-l,145-Ly-l-d1,Senesneus,female,40,,Sou,Tapnoubchis,,,,[],['145-Ly-l-FM1'],self,family member,
483,145-Ly-l,145-Ly-l-FM1,Senpho—,female,21,,Pore,145-Ly-l-d1,,,,[],[],daughter,family member,
484,145-Ly-l,145-Ly-l-NK1,Isarous,female,"6[p<t>av]r)[v ?], 8",,Sareus,,,,,[],[],,free non-kin,
485,145-Me-l,145-Me-l-d1,Areios,,14,,,,,,,[],[],self,family member,
486,145-Oa-l,145-Oa-l-d1,Petosiris,male,65,,Haryotes,Sen[os?]iris,,,,[],[],self,family member,
487,145-Oa-l,145-Oa-l-FM1,Haryotes,male,32,,Petosiris,Tapsais,,,,['145-Oa-l-FM2'],[],,family member,
488,145-Oa-l,145-Oa-l-FM2,Psais,male,,,Petosiris,Tapsais,,,,['145-Oa-l-FM1'],[],,family member,
489,145-Oa-l,145-Oa-l-FM3,NN,male or female,age lost,,Petosiris,,,,,[],[],,family member,
490,145-Ox-l,145-Ox-l-d1,NN,,,,,,,,145-Ox-l-FM2,[],['145-Ox-l-FM3'],self,family member,
491,145-Ox-l,145-Ox-l-FM1,NN,male,age lost,,,,,,,[],[],,family member,
492,145-Ox-l,145-Ox-l-FM2,Alexandra,female,age lost,,,,,,145-Ox-l-d1,[],['145-Ox-l-FM3'],wife,family member,
493,145-Ox-l,145-Ox-l-FM3,Dionysia,female,3,,145-Ox-l-d1,145-Ox-l-FM2,,,,[],[],daughter,family member,
494,145-Ox-2,145-Ox-2-d1,Hierax,male,66,,Hakoris,Dionysia,M...,Hierax,,[],['145-Ox-2-FM1'],self,family member,
495,145-Ox-2,145-Ox-2-FM1,Hierax,male,age lost,,145-Ox-2-d1,Alexandra,,,,[],[],son,family member,
496,145-Ox-2,145-Ox-2-FM2,Theon,,age lost,,,,,,,[],[],,family member,
497,145-Ox-3,145-Ox-3-d1,Dikaiogenes,male,22,,Philon,Senherakleia,,Dikaiogenes,,[],[],self,family member,
498,145-Ox-3,145-Ox-3-NK1,Sarapion alias Eutyches,,19,,,,,,,[],[],,free non-kin,
499,145-Pr-l,145-Pr-l-d1,Not stated,,,,,,,,,[],"['145-Pr-l-FM2', '145-Pr-l-FM3']",self,family member,
500,145-Pr-l,145-Pr-l-FM1,Chentmouphis,male,"52 (should be 59, cf. 131-Pr-l)",,Anikos,Thaseis,Pathermouthis,Herpaesis,,[],[],,family member,
501,145-Pr-l,145-Pr-l-FM2,Anikos,male,20,,145-Pr-l-d1,Demetrous,,Soterichos,,['145-Pr-l-FM3'],[],son,family member,
502,145-Pr-l,145-Pr-l-FM3,Thamistis,female,24,,145-Pr-l-d1,Demetrous,,Soterichos,,['145-Pr-l-FM2'],[],daughter,family member,
503,159 Ar 1,159 Ar 1-d1,Mysthes,male,age lost,,Philon,,,,,[],['159 Ar 1-FM1'],self,family member,
504,159 Ar 1,159 Ar 1-FM1,Mysthes alias Ninnos,male,33,,159 Ar 1-d1,Herais,,,159 Ar 1-FM2,[],"['159 Ar 1-FM3', '159 Ar 1-FM4']",son,family member,
505,159 Ar 1,159 Ar 1-FM2,Zosime,female,22,,Marion,,,,159 Ar 1-FM1,[],"['159 Ar 1-FM3', '159 Ar 1-FM4']",,family member,
506,159 Ar 1,159 Ar 1-FM3,Ammonios,male,5,,159 Ar 1-FM1,159 Ar 1-FM2,,,,[],[],,family member,
507,159 Ar 1,159 Ar 1-FM4,Didymos,male,4,,159 Ar 1-FM1,159 Ar 1-FM2,,,,[],[],,family member,
508,159 Ar-2,159 Ar-2-d2,Herois,male,,,,Herois,Tryphon,,,[],[],self,family member,
509,159 Ar-2,159 Ar-2-d1,Thaisarion,male,,,,Herois,Tryphon,,,[],[],self,family member,
510,159 Ar 3,159 Ar 3-d1,Sokrates,male,,,Pammenes,,,,,[],[],self,family member,
511,159-Ar-4,159-Ar-4-d1,Herodes,male,31,,Philadelphos,Thermoutharion,Herodes,,159-Ar-4-FM5,"['159-Ar-4-FM2', '159-Ar-4-FM3', '159-Ar-4-FM4', '159-Ar-4-FM5']",['159-Ar-4-FM1'],self,family member,
512,159-Ar-4,159-Ar-4-FM1,Sarapion alias Hermias,male,8,,159-Ar-4-d1,Zoidous,,Philadelphos,,[],[],son,family member,
513,159-Ar-4,159-Ar-4-FM2,Ischyrion,male,45,,Philadelphos,Thermoutharion,Herodes,,159-Ar-4-FM6,['159-Ar-4-d1'],"['159-Ar-4-FM7', '159-Ar-4-FM8']",brother,family member,
514,159-Ar-4,159-Ar-4-FM3,Aphrodisios,male,33,,Philadelphos,Thermoutharion,Herodes,,159-Ar-4-FM9,['159-Ar-4-d1'],['159-Ar-4-FM10'],brother,family member,
